CountryCode,Chemicals (% of value added in manufacturing),"Computer, communications and other services (% of commercial service exports)","Food, beverages and tobacco (% of value added in manufacturing)",Insurance and financial services (% of commercial service exports),Machinery and transport equipment (% of value added in manufacturing),Other manufacturing (% of value added in manufacturing),Textiles and clothing (% of value added in manufacturing),Transport services (% of commercial service exports),Travel services (% of commercial service exports)
SYC,,28.4481108,,0,,,,23.37266096,48.17922824
TCA,,0,,0,,,,5.00018341,94.99981659
TEA,,51.08643754,,3.402947116,,,,16.07427839,29.43643321
TEC,,38.61188698,,2.473621809,,,,33.68545275,25.22903846
TGO,,18.47231237,,2.482629303,,,,50.57783634,28.46722199
THA,7.676387797,20.20297785,19.98962039,1.200503667,30.25950958,36.06963316,6.004849071,11.09441565,67.50210284
TJK,,18.9143456,,0.608861004,,,,80.09474812,0.382045271
TLA,,25.80793601,,8.347555074,,,,17.57891981,48.27710108
TLS,,39.65439331,,1.592622732,,,,1.49653781,57.25644615
TMN,,31.79896569,,11.58432058,,,,26.38788424,
TON,,14.90806204,,0.467278977,,,,19.31215622,65.31250276
TSA,,66.19592148,,5.084884567,,,,15.4837076,13.23548635
TSS,,19.57904395,,5.306654703,,,,25.28415016,49.89141433
TTO,,22.54967267,,4.25187457,,,,40.31117876,32.887274
TUN,9.546872493,19.66405462,19.66039858,3.009025784,12.86936427,38.7173685,19.20599615,25.54374531,51.78317428
TUR,6.940131156,11.61347084,12.95479149,3.033709696,18.19643304,44.17050971,17.7381346,37.20449028,48.14832918
TZA,4.204792837,12.04988135,70.05128063,1.775244578,2.053984578,19.56622156,4.123720392,26.70502253,59.46985155
UGA,,40.32080575,,3.06012673,,,,8.405770673,48.21329685
UKR,9.355917954,44.6097929,31.14555923,1.604718146,18.40582347,39.09477801,1.997921344,42.73076396,11.054725
UMC,,41.3490528,,4.984162952,,,,19.40707846,34.70610375
URY,12.79042024,36.91084625,47.75626303,4.366889313,4.549383107,29.63009183,5.273841788,16.56894862,42.15331582
USA,15.93083346,44.35501674,15.14402612,18.88120322,29.3744351,38.23751738,1.313187939,12.30488679,24.45889325
UZB,,17.86091726,,1.999525783,,,,58.67144749,21.46810947
VCT,,7.097451407,,3.684331733,,,,3.645467865,85.57274899
VEN,,14.18361737,,1.044529962,,,,38.81253436,45.95931831
VNM,4.890845993,,17.35383205,,31.36061618,32.53240326,13.86230251,,
VUT,,3.082243693,,2.448057965,,,,14.05025372,80.41944463
WLD,,44.49957735,,8.835112858,,,,20.79264287,25.96653881
WSM,,18.55295411,,3.338632486,,,,4.124518753,73.98389465
XKX,,20.02717407,,2.445060833,,,,2.966538136,74.56122696
YEM,1.593738527,14.78126609,53.17913287,0,0.254118233,38.2835565,6.689453866,17.12685935,68.09187457
ZAF,6.996506011,18.05595099,22.17929624,6.732486687,14.60321145,54.42716684,1.793819453,18.44290833,56.76865399
ZMB,9.666461863,8.079449897,37.40279119,9.338737015,,51.6624243,1.268322654,7.183118389,75.3986947
ZWE,4.565048344,21.94893737,37.15216432,0,4.408443208,52.50195387,1.372390265,26.30411255,51.74695007
